"Date ","Singles "
"2023.08.21 ",12
"2023.08.14 ",17
"2023.08.07 ",16
"2023.07.31 ",15
"2023.07.24 ",19
"2023.07.17 ",19
"2023.07.03 ",21
"2023.06.26 ",21
"2023.06.19 ",22
"2023.06.12 ",23
"2023.05.29 ",27
"2023.05.22 ",27
"2023.05.08 ",22
"2023.04.24 ",16
"2023.04.17 ",16
"2023.04.10 ",16
"2023.04.03 ",16
"2023.03.20 ",15
"2023.03.06 ",14
"2023.02.27 ",16
"2023.02.20 ",16
"2023.02.13 ",17
"2023.02.06 ",16
"2023.01.30 ",14
"2023.01.16 ",13
"2023.01.09 ",13
"2023.01.02 ",12
"2022.12.26 ",12
"2022.12.19 ",12
"2022.12.12 ",12
"2022.12.05 ",12
"2022.11.28 ",12
"2022.11.21 ",12
"2022.11.14 ",12
"2022.11.07 ",12
"2022.10.31 ",6
"2022.10.24 ",6
"2022.10.17 ",6
"2022.10.10 ",6
"2022.10.03 ",5
"2022.09.26 ",5
"2022.09.19 ",5
"2022.09.12 ",5
"2022.08.29 ",2
"2022.08.22 ",2
"2022.08.15 ",2
"2022.08.08 ",2
"2022.08.01 ",2
"2022.07.25 ",2
"2022.07.18 ",2
"2022.07.11 ",2
"2022.06.27 ",2
"2022.06.20 ",2
"2022.06.13 ",2
"2022.06.06 ",3
"2022.05.23 ",3
"2022.05.16 ",3
"2022.05.09 ",3
"2022.05.02 ",3
"2022.04.25 ",3
"2022.04.18 ",3
"2022.04.11 ",3
"2022.04.04 ",3
"2022.03.21 ",4
"2022.03.07 ",3
"2022.02.28 ",3
"2022.02.21 ",3
"2022.02.14 ",3
"2022.02.07 ",3
"2022.01.31 ",3
"2022.01.17 ",3
"2022.01.10 ",3
"2022.01.03 ",3
"2021.12.27 ",3
"2021.12.20 ",3
"2021.12.13 ",3
"2021.12.06 ",3
"2021.11.29 ",3
"2021.11.22 ",3
"2021.11.15 ",3
"2021.11.08 ",3
"2021.11.01 ",4
"2021.10.25 ",4
"2021.10.18 ",4
"2021.10.04 ",4
"2021.09.27 ",4
"2021.09.20 ",4
"2021.09.13 ",4
"2021.08.30 ",4
"2021.08.23 ",4
"2021.08.16 ",5
"2021.08.09 ",5
"2021.08.02 ",5
"2021.07.26 ",5
"2021.07.19 ",5
"2021.07.12 ",5
"2021.06.28 ",6
"2021.06.21 ",6
"2021.06.14 ",6
"2021.05.31 ",6
"2021.05.24 ",6
"2021.05.17 ",6
"2021.05.10 ",6
"2021.05.03 ",6
"2021.04.26 ",6
"2021.04.19 ",6
"2021.04.12 ",6
"2021.04.05 ",6
"2021.03.22 ",7
"2021.03.15 ",7
"2021.03.08 ",7
"2021.03.01 ",7
"2021.02.22 ",7
"2021.02.08 ",7
"2021.02.01 ",7
"2021.01.25 ",7
"2021.01.18 ",7
"2021.01.11 ",7
"2021.01.04 ",7
"2020.12.28 ",7
"2020.12.21 ",7
"2020.12.14 ",7
"2020.12.07 ",7
"2020.11.30 ",7
"2020.11.23 ",7
"2020.11.16 ",7
"2020.11.09 ",7
"2020.11.02 ",7
"2020.10.26 ",7
"2020.10.19 ",7
"2020.10.12 ",7
"2020.09.28 ",7
"2020.09.21 ",7
"2020.09.14 ",7
"2020.08.31 ",7
"2020.08.24 ",7
"2020.03.16 ",7
"2020.03.09 ",7
"2020.03.02 ",7
"2020.02.24 ",7
"2020.02.17 ",7
"2020.02.10 ",7
"2020.02.03 ",7
"2020.01.20 ",7
"2020.01.13 ",7
"2020.01.06 ",7
"2019.12.30 ",7
"2019.12.23 ",7
"2019.12.16 ",7
"2019.12.09 ",7
"2019.12.02 ",7
"2019.11.25 ",7
"2019.11.18 ",7
"2019.11.11 ",7
"2019.11.04 ",7
"2019.10.28 ",6
"2019.10.21 ",6
"2019.10.14 ",6
"2019.10.07 ",6
"2019.09.30 ",6
"2019.09.23 ",6
"2019.09.16 ",6
"2019.09.09 ",6
"2019.08.26 ",6
"2019.08.19 ",6
"2019.08.12 ",6
"2019.08.05 ",7
"2019.07.29 ",5
"2019.07.22 ",5
"2019.07.15 ",5
"2019.07.01 ",5
"2019.06.24 ",5
"2019.06.17 ",5
"2019.06.10 ",5
"2019.05.27 ",5
"2019.05.20 ",5
"2019.05.13 ",5
"2019.05.06 ",4
"2019.04.29 ",3
"2019.04.22 ",3
"2019.04.15 ",3
"2019.04.08 ",3
"2019.04.01 ",3
"2019.03.18 ",3
"2019.03.11 ",3
"2019.03.04 ",3
"2019.02.25 ",3
"2019.02.18 ",3
"2019.02.11 ",3
"2019.02.04 ",3
"2019.01.28 ",3
"2019.01.14 ",4
"2019.01.07 ",4
"2018.12.31 ",4
"2018.12.24 ",4
"2018.12.17 ",4
"2018.12.10 ",4
"2018.12.03 ",4
"2018.11.26 ",4
"2018.11.19 ",4
"2018.11.12 ",5
"2018.11.05 ",5
"2018.10.29 ",5
"2018.10.22 ",5
"2018.10.15 ",5
"2018.10.08 ",5
"2018.10.01 ",5
"2018.09.24 ",5
"2018.09.17 ",5
"2018.09.10 ",5
"2018.08.27 ",4
"2018.08.20 ",4
"2018.08.13 ",4
"2018.08.06 ",3
"2018.07.30 ",3
"2018.07.23 ",3
"2018.07.16 ",3
"2018.07.02 ",3
"2018.06.25 ",3
"2018.06.18 ",3
"2018.06.11 ",3
"2018.05.28 ",3
"2018.05.21 ",3
"2018.05.14 ",3
"2018.05.07 ",3
"2018.04.30 ",3
"2018.04.23 ",3
"2018.04.16 ",4
"2018.04.09 ",4
"2018.04.02 ",4
"2018.03.19 ",5
"2018.03.05 ",5
"2018.02.26 ",5
"2018.02.19 ",5
"2018.02.12 ",4
"2018.02.05 ",5
"2018.01.29 ",5
"2018.01.15 ",4
"2018.01.08 ",4
"2018.01.01 ",4
"2017.12.25 ",4
"2017.12.18 ",4
