"region","contents","quarter","09332: Transfers of holiday properties with building, free market sale, by region, contents and quarter"
"01 Østfold","Transfers, total","2000K1",77
"01 Østfold","Transfers, total","2000K2",174
"01 Østfold","Transfers, total","2000K3",186
"01 Østfold","Transfers, total","2000K4",147
"01 Østfold","Transfers, total","2001K1",50
"01 Østfold","Transfers, total","2001K2",159
"01 Østfold","Transfers, total","2001K3",221
"01 Østfold","Transfers, total","2001K4",121
"01 Østfold","Transfers, total","2002K1",65
"01 Østfold","Transfers, total","2002K2",154
"01 Østfold","Transfers, total","2002K3",207
"01 Østfold","Transfers, total","2002K4",121
"01 Østfold","Transfers, total","2003K1",63
"01 Østfold","Transfers, total","2003K2",146
"01 Østfold","Transfers, total","2003K3",196
"01 Østfold","Transfers, total","2003K4",139
"01 Østfold","Transfers, total","2004K1",70
"01 Østfold","Transfers, total","2004K2",162
"01 Østfold","Transfers, total","2004K3",208
"01 Østfold","Transfers, total","2004K4",136
"01 Østfold","Transfers, total","2005K1",60
"01 Østfold","Transfers, total","2005K2",157
"01 Østfold","Transfers, total","2005K3",200
"01 Østfold","Transfers, total","2005K4",183
"01 Østfold","Transfers, total","2006K1",101
"01 Østfold","Transfers, total","2006K2",114
"01 Østfold","Transfers, total","2006K3",196
"01 Østfold","Transfers, total","2006K4",164
"01 Østfold","Transfers, total","2007K1",119
"01 Østfold","Transfers, total","2007K2",170
"01 Østfold","Transfers, total","2007K3",230
"01 Østfold","Transfers, total","2007K4",169
"01 Østfold","Transfers, total","2008K1",68
"01 Østfold","Transfers, total","2008K2",134
"01 Østfold","Transfers, total","2008K3",238
"01 Østfold","Transfers, total","2008K4",110
"01 Østfold","Transfers, total","2009K1",84
"01 Østfold","Transfers, total","2009K2",99
"01 Østfold","Transfers, total","2009K3",191
"01 Østfold","Transfers, total","2009K4",136
"01 Østfold","Transfers, total","2010K1",60
"01 Østfold","Transfers, total","2010K2",132
"01 Østfold","Transfers, total","2010K3",180
"01 Østfold","Transfers, total","2010K4",143
"01 Østfold","Transfers, total","2011K1",54
"01 Østfold","Transfers, total","2011K2",128
"01 Østfold","Transfers, total","2011K3",209
"01 Østfold","Transfers, total","2011K4",121
"01 Østfold","Transfers, total","2012K1",65
"01 Østfold","Transfers, total","2012K2",147
"01 Østfold","Transfers, total","2012K3",184
"01 Østfold","Transfers, total","2012K4",128
"01 Østfold","Transfers, total","2013K1",75
"01 Østfold","Transfers, total","2013K2",129
"01 Østfold","Transfers, total","2013K3",194
"01 Østfold","Transfers, total","2013K4",109
"01 Østfold","Transfers, total","2014K1",42
"01 Østfold","Transfers, total","2014K2",149
"01 Østfold","Transfers, total","2014K3",200
"01 Østfold","Transfers, total","2014K4",129
"01 Østfold","Transfers, total","2015K1",82
"01 Østfold","Transfers, total","2015K2",158
"01 Østfold","Transfers, total","2015K3",203
"01 Østfold","Transfers, total","2015K4",119
"01 Østfold","Transfers, total","2016K1",66
"01 Østfold","Transfers, total","2016K2",176
"01 Østfold","Transfers, total","2016K3",177
"01 Østfold","Transfers, total","2016K4",120
"01 Østfold","Transfers, total","2017K1",74
"01 Østfold","Transfers, total","2017K2",169
"01 Østfold","Transfers, total","2017K3",213
"01 Østfold","Transfers, total","2017K4",116
"01 Østfold","Transfers, total","2018K1",55
"01 Østfold","Transfers, total","2018K2",144
"01 Østfold","Transfers, total","2018K3",191
"01 Østfold","Transfers, total","2018K4",115
"01 Østfold","Transfers, total","2019K1",70
"01 Østfold","Transfers, total","2019K2",172
"01 Østfold","Transfers, total","2019K3",206
"01 Østfold","Total purchase price (NOK million)","2000K1",36
"01 Østfold","Total purchase price (NOK million)","2000K2",126
"01 Østfold","Total purchase price (NOK million)","2000K3",132
"01 Østfold","Total purchase price (NOK million)","2000K4",108
"01 Østfold","Total purchase price (NOK million)","2001K1",25
"01 Østfold","Total purchase price (NOK million)","2001K2",113
"01 Østfold","Total purchase price (NOK million)","2001K3",159
"01 Østfold","Total purchase price (NOK million)","2001K4",93
